id,title,description,price,price_million,area_m2,price_per_m2,region,district,ward,street,lat,lng,property_type,category,post_time,images_count,crawled_at
128808964,Chính chủ cho thuê nhà tập thể t3 đầu hồi,"Chính chủ cho thuê : Căn hộ tt Trung Tự tầng 3 chung cư này nằm ở phố Đặng Văn Ngữ, p Phương Liên - Trung Tự, Q. Đống Đa, HN, với diện tích 70m2 đầu hồi, giá cho thuê 8,5 triệu VND. Nội thất cơ bản, cần thiết như giường, tủ, điều hoà, nóng lạnh sẵn sàng để chuyển vào ở ngay.

Căn hộ có hướng cửa chính và ban công đều về phía Nam, đón nắng và gió mát cả ngày
Thời gian thuê linh hoạt, tối thiểu 1 năm. Ưu tiên cho hộ gia đình.
Cách trường cao đẳng Y Tế Hà Nội chỉ 2km, gần siêu thị Thành Công và siêu thị Gia Đình, tiện lợi cho việc mua sắm hàng ngày. Gần truòng th Trung Tự, mầm non Việt triều, đai học Ngân Hàng, đại học Y. Đối điện UBND Phường KIM LIÊN mới. Gần Công viên Thủy Lợi, Công viên Thống Nhất, cực kỳ thích hợp cho việc thư giãn và tập thể dục.

Liên hệ ngay để biết thêm chi tiết và đặt lịch xem căn hộ này",8500000,8.5,75,113333.33333333331,Hà Nội,Quận Đống Đa,Phường Trung Tự,Phố Đặng Văn Ngữ,21.011095,105.83077,,1010,1766315517000,,2025-12-22T00:00:06.993441+00:00
128947717,"Cực hiếm! Lô đất 76m² trung tâm Minh Trí, Sóc Sơn, Sổ đỏ sẵn giao dịch","🧨🧨🧨Hót Hót Giá 1ty550tr 
Chủ cần bán Gấp Đất Thái Lai Minh Trí Sóc Sơn Hà Nội 
🎀 Diện tích: 76m²( 60m2 thổ cư và 16m CTLN)
 – đường 4,5m, ô tô vào tận đất.
+ Dân cư  đông đúc, An Ninh tốt.
✨ Vị trí đắc địa: gần hồ Đồng Đò, sân golf, khu nghỉ dưỡng, KCN sạch. Không khí trong lành...

👉 Sổ đỏ sẵn sàng giao dịch, pháp lý chuẩn

☎️ Liên hệ/Zalo: ***",1550000000,1550.0,83,18674698.795180723,Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,Thái Lai Minh Trí Sóc Sơn Hà Nội,21.33221,105.78793,,1040,1766328230000,,2025-12-22T00:00:06.993441+00:00
129725446,"Chính chủ cho thuê phòng khép kín riêng biêt full đồ giá 3,2tr","CHÍNH CHỦ CHO THUÊ PHÒNG TRỌ GIÁ CHỈ 3,2TRIỆU KHÉP KÍN RIÊNG BIỆT CHỈ XÁCH VA LY VÀO Ở, GIỜ GIẤC TỰ DO
 KHÔNG QUA TRUNG GIAN 
- Địa chỉ: Nhà số 1 ngõ 99 ngách 158 hẻm 42 Định Công Hạ
- Diện tích: 25m2
- Vị trí phòng đẹp :, thoáng mát
- Thuận tiện giao thông đi lại
- Phòng đầy đủ giường, tủ, kệ bếp, điều hoà, nóng lạnh, máy giặt
- PCCC đầy đủ  LIÊN HỆ  chính chủ chi Hương 24/7",3200000,3.2,80,40000.0,Hà Nội,Quận Hoàng Mai,Phường Định Công,Phố Định Công Hạ,20.98155,105.83044,,1050,1766330114310,,2025-12-22T00:00:06.993441+00:00
129826311,bán nhà khâm thiên,"Cần bán nhà 3 tầng, ngõ 1 khâm thiên, ngõ xe 3 gác, phía sau là mặt ngõ, ngõ nông và thẳng, có thể ở 2 hộ gia đình nhỏ vì khép kín từng tầng",4350000000,4350.0,75,58000000.0,Hà Nội,Quận Đống Đa,Phường Khâm Thiên,Phố Khâm Thiên,21.018812,105.84117,,1020,1766333157000,,2025-12-22T00:00:06.993441+00:00
129500679,Bán Nhà Bằng B Hoàng Liệt DT36m 5T Ngõ Rộng 2 Mặt Thoáng 10m Ra Ô Tô,"SIÊU PHẨM BẰNG B - HOÀNG LIỆT 
💥 Anh Hội hàng xóm gửi bán hộ căn nhà tự xây thiết kế - Dt 36m- 5 tầng - 4 ngủ - 2 Thoáng vĩnh viễn - Ngõ Thông Gần Ô tô  - bãi gửi ô tô cách 30m - Kinh doanh nhỏ : Giá chỉ 7,45 tỷ 💥
 
✅Vị trí khu dân cư sầm uất , gần trường chợ  , cấp 1,2 ,3 Linh Đàm 
✅Tiện ích kđt Linh Đàm 500m bến xe nước ngầm giao thông thuận tiện.

📕Sổ vuông vắn , pháp lý chuẩn 
☎️Lh Zalo e điệp *** gặp chính chủ  xem nhà 24/7",7450000000,7450.0,80,93125000.0,Hà Nội,Quận Hoàng Mai,Phường Hoàng Liệt,Phố Bằng B,20.957077,105.82676,,1020,1766320519000,,2025-12-22T00:00:06.993441+00:00
129802756,"Cho thuê nhà cấp 4 ở 68/68 nguyễn văn linh,cạnh phố nguyễn thời trung","Tôi có nhà cấp 4 diện tích 40m2 có gác xép,vào đường nguyễn thời trung rẽ phải.trước mặt nhà là sân thoáng rộng, yên tĩnh. 
- địa chỉ tại ngõ 68/68 nguyễn văn linh
- có thể ở hoặc làm kho, văn phòng,",5000000,5.0,81,61728.39506172839,Hà Nội,Quận Long Biên,Phường Thạch Bàn,Đường Nguyễn Văn Linh,21.027077,105.923355,,1050,1766306282000,,2025-12-22T00:00:06.993441+00:00
129808389,🏡 SIÊU PHẨM MẶT PHỐ ĐÊ-LA-THÀNH – LÔ GÓC – GẦN NGÃ 6 Ô CHỢ DỪA – KINH,"🏡 SIÊU PHẨM MẶT PHỐ ĐÊ-LA-THÀNH – LÔ GÓC – GẦN NGÃ 6 Ô CHỢ DỪA – KINH DOANH ĐỈNH CAO 🏡

Chính chủ gửi bán căn nhà đẹp mặt phố Đê-La-Thành, vị trí gần ngã 6 Ô Chợ Dừa, khu vực trung tâm Đống Đa, giao thông huyết mạch, kinh doanh sầm uất ngày đêm.

🔹 Thông tin chi tiết:
 • Vị trí mặt phố, lô góc thoáng sáng
 • Đường trước nhà rộng 10 mét
 • Diện tích 42m²
 • Kết cấu 5 tầng chắc chắn
 • Nhà mới đẹp, thiết kế tối ưu công năng
 • Ánh sáng tự nhiên tràn ngập
 • Nội thất xịn xò, về ở hoặc kinh doanh ngay
 • Sổ đỏ nở hậu, pháp lý chuẩn
 • Chính chủ, sẵn sàng giao dịch

💰 Giá chào: 19 tỷ (có thương lượng)

📞 Liên hệ: *** để xem nhà trực tiếp.
Hàng mặt phố trung tâm – lô góc – giá tốt, rất hiếm trên thị trường!",19000000000,19000.0,75,253333333.3333333,Hà Nội,Quận Đống Đa,Phường Ô Chợ Dừa,Đê La Thành,21.020054,105.82462,,1020,1766306221000,,2025-12-22T00:00:06.993441+00:00
129675275,Trương Định - Bạch Mai - nhà xây mới - 40m2 - 4 tầng - hơn 6 tỷ.,"+ Vị trí ngõ to như phố, ra phố chỉ vài chục mét.
+ Nhà xây mới, khách mua về ở luôn. Thiết kế 3 ngủ đủ công năng

+ Nhà có sân để xe riêng biệt, xung quanh trường học các cấp, siêu thị không thiếu thứ gì.

+ Gần ngay 3 trường đại học lớn Bách-  Kinh- Xây, lên Phố Đại La, Minh Khai, Bạch Mai ,Trần Đại Nghĩa chưa đến 3 phút.
+ Sổ đỏ vuông vắn chính chủ sẵn sàng giao dịch.

Em Khải với trên 5 năm kinh nghiệm bán thổ cư Hai Bà Trưng - Hoàng Mai - Đống Đa, a/c quan tâm liên hệ em Khải qua Zalo để biết thêm thông tin về căn nhà này và rất nhiều căn nhà đẹp khác.",6950000000,6950.0,76,91447368.42105263,Hà Nội,Quận Hai Bà Trưng,Phường Trương Định,Đường Trương Định,20.994463,105.84974,,1020,1766326429000,,2025-12-22T00:00:06.993441+00:00
129826316,Bán căn hộ 2 phòng ngủ cực xinh view hồ tại Imperia Smart City,"Bán căn hộ 2 phòng ngủ diện tích 55m2 cực xinh view hồ tại Imperia Smart City. Giá tốt so với thị trường.  Nhà rất xinh, anh chị liên hệ em nhé.
Ngoài ra em đang có quỹ căn giá *** tại Vinhomes Smart City

Căn 3N giá chỉ 6.00 tỷ 76m2 full nội thất
Căn 1N giá 4.1 tỷ 47.5m2
Căn Stu mới tinh tòa SA giá chỉ 2.58 tỷ
Căn Stu cực xinh full đồ giá chỉ 2.65 tỷ
Ngoài ra còn nhiều căn xinh giá tốt nữa ạ",5150000000,5150.0,121,42561983.47107438,Hà Nội,Quận Nam Từ Liêm,Phường Tây Mỗ,Đại Mỗ,21.01006,105.7404,,1010,1766333228000,,2025-12-22T00:00:06.993441+00:00
129771533,"CHÍNH CHỦ CHO THUÊ CCMN, PHÒNG KHÉP KÍN.","CHÍNH CHỦ CHO THUÊ CCMN, PHÒNG KHÉP KÍN
Đ/c: Ngõ 142 Nguyễn Đình Hoàn, Vị trí gần đường Nguyễn Khánh Toàn, Hoàng Quốc Việt, Đào Tấn, Lotte, Liễu Giai. Đội Cấn)
- Giá : 3,7tr
- Diện tích: 22m2
- Toà nhà nằm trong không gian yên tĩnh, thoáng mát, văn minh, an ninh tốt
- Nội thất mới, sạch sẽ, khép kín, bao gồm: Tủ, kệ, Tủ bếp, tủ quần áo, giường đôi, điều hòa, nóng lạnh, quạt trần.
- CC có thang máy, thẻ từ ra vào, cửa khóa vân tay, internet cáp quang tốc độ cao, có hệ thống camera an ninh, bảo vệ trực 24/7.
- Điện nước công tơ riêng. Điện: 3,8k/1kw, nước: 39k/ m3.
Chính chủ cho thuê nên giá cả rất hợp lý, ưu tiên cho khách ký hợp đồng dài hạn.
Liên hệ chủ nhà: Ms Uyên: ***",3700000,3.7,79,46835.443037974685,Hà Nội,Quận Cầu Giấy,Phường Nghĩa Đô,Phố Nguyễn Đình Hoàn,21.042974,105.80528,,1050,1766318401000,,2025-12-22T00:00:06.993441+00:00
